,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1,1,764,12 segundos,12 segundos,['Suspense'],['Kenneth Muller'],[],"['Flor Payán', 'Mario Zaragoza']",12
2,2,1398,20.000 Besos,20.000 Besos,"['Romance', 'Comedia']",['Sebastián De Caro'],[],"['Walter Cornás', 'Carla Quevedo', 'Eduardo Blanco', 'Alan Sabbagh', 'Gastón Pauls']",22
3,3,1954,El póker de la muerte,5 Card Stud,"['Acción', 'Western', 'Suspense']",['Henry Hathaway'],"['poker', 'murder', 'cementery', 'cheating at cards']","['Dean Martin', 'Robert Mitchum', 'Inger Stevens', 'Roddy McDowall', 'Katherine Justice']",33
4,4,1959,5 días de guerra,5 Days of War,"['Bélica', 'Drama']",['Renny Harlin'],"['journalist', 'war crimes', 'mass murder', 'evacuation', 'interpreter', 'invasion', 'battlefield', 'georgia europe', 'torture', 'soldier', 'explosion', 'interrogation', 'bombing', 'death', 'russian politics', 'military', 'news report', 'cameraman', 'combat photography', 'war zone']","['Rupert Friend', 'Val Kilmer', 'Andy García', 'Dean Cain', 'Emmanuelle Chriqui']",19
5,5,2089,50/50,50/50,"['Comedia', 'Drama']",['Jonathan Levine'],"['usa', 'painter', 'parent child relationship', 'therapist', 'friendship', 'cancer', 'psychologist', 'hospital', 'best friend', 'doctor', 'patient', 'doctor patient relationship', 'vomiting', 'chemotherapy']","['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick', 'Bryce Dallas Howard', 'Anjelica Huston']",20
6,6,2472,Otra clase de justicia,Puncture Wounds,"['Acción', 'Drama']","['Giorgio Serafini', 'James Coyne']",[],"['Dolph Lundgren', 'Cung Le', 'Vinnie Jones', 'Gianni Capaldi', 'Briana Evigan']",19
7,7,2496,Un beso de Navidad,A Christmas Kiss II,"['Película de TV', 'Romance']",['Kevin Conner'],"['holiday', 'christmas']","['Elisabeth Harnois', 'Adam Mayfield', 'Lola Glaudini', 'Jonathan Bennett', 'Elisabeth Röhm']",29
8,8,2537,Objetivo terrorista,A Common Man,"['Acción', 'Suspense']",['Chandran Rutnam'],"['terrorist', 'threat', 'bomb planting', 'terrorist plot']","['Ben Kingsley', 'Ben Cross', 'Patrick Rutnam', 'Ashan Dias', 'Mohamed Adamaly']",22
10,10,3016,"El sueño de una noche de verano, de William Shakespeare",A Midsummer Night's Dream,"['Fantasía', 'Drama', 'Comedia', 'Romance']",['Michael Hoffman'],"['shakespeare', 'fairy', 'lover', 'promise', 'luck', 'puck']","['Rupert Everett', 'Calista Flockhart', 'Kevin Kline', 'Michelle Pfeiffer', 'Stanley Tucci']",43
11,11,3242,Camino hacia la gloria,A Shot at Glory,['Drama'],[],[],[],9
36,36,6841,Arrebato,Arrebato,"['Drama', 'Suspense']",['Sandra Gugliotta'],['woman director'],"['Pablo Echarri', 'Leticia Brédice', 'Gustavo Garzón', 'Claudio Tolcachir']",21
37,37,7002,Tan Genial Como Yo,As Cool as I Am,"['Comedia', 'Drama']",['Max Mayer'],"['dysfunctional family', 'coming of age']","['Sarah Bolger', 'Thomas Mann', 'James Marsden', 'Claire Danes', 'Seth Adkins']",20
38,38,7245,Ass Backwards,Ass Backwards,"['Aventura', 'Comedia']",['Chris Nelson'],[],"['June Diane Raphael', 'Casey Wilson', ""Vincent D'Onofrio"", 'Alicia Silverstone', 'Jon Cryer']",23
39,39,7300,Astro Boy,Astro Boy,"['Animación', 'Acción', 'Familia', 'Ciencia ficción']",['David Bowers'],"['hero', 'future', 'superhero', 'children', 'animation', 'robot', 'family']","['Nicolas Cage', 'Kristen Bell', 'Bill Nighy', 'Donald Sutherland', 'Freddie Highmore']",53
40,40,7707,Avatar,Avatar,"['Acción', 'Aventura', 'Fantasía', 'Ciencia ficción']",['James Cameron'],"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez']",53
41,41,7921,Baby Mama (Mamá de alquiler),Baby Mama,['Comedia'],['Michael McCullers'],"['pregnancy and birth', 'surrogate mother']","['Tina Fey', 'Amy Poehler', 'Dax Shepard', 'Sigourney Weaver', 'Greg Kinnear']",11
42,42,8507,La conquista del planeta de los simios,Battle for the Planet of the Apes,"['Acción', 'Ciencia ficción']",['J. Lee Thompson'],"['post-apocalyptic', 'dystopia', 'ape']","['Roddy McDowall', 'Natalie Trundy', 'Austin Stoker', 'Severn Darden', 'Claude Akins']",29
43,43,8529,Battleship,Battleship,"['Suspense', 'Acción', 'Aventura', 'Ciencia ficción']",['Peter Berg'],"['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']","['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano']",53
44,44,8665,Al diablo con el diablo,Bedazzled,"['Fantasía', 'Comedia', 'Romance']",['Harold Ramis'],"[""love of one's life"", 'wish', 'sale of soul', 'pact with the devil', 'remake', 'demon', 'teuflisch']","['Elizabeth Hurley', 'Brendan Fraser', ""Frances O'Connor"", 'Orlando Jones', 'Paul Adelstein']",34
45,45,8734,Behaving Badly,Behaving Badly,['Comedia'],['Tim Garrick'],[],"['Nat Wolff', 'Selena Gomez', 'Mary-Louise Parker', 'Elisabeth Shue', 'Dylan McDermott']",11
71,71,12105,My Dog the Champion,My Dog the Champion,"['Drama', 'Familia']","['Kevin Nations', 'Robin Nations']",[],"['Lance Henriksen', 'Cody Linley', 'Kate Krause', 'Miranda Money', 'Dora Madison']",20
72,72,12220,Persiguiendo a Amy,Chasing Amy,"['Comedia', 'Drama', 'Romance']",['Kevin Smith'],"['new jersey', 'coming out', ""love of one's life"", 'bisexuality', 'menage a trois', 'comic book', 'comic-strip artist', 'independent film', 'lesbian', 'best friend']","['Ben Affleck', 'Joey Lauren Adams', 'Jason Lee', 'Dwight Ewell', 'Jason Mewes']",31
73,73,12588,Chimpancés,Chimpanzee,['Documental'],"['Alastair Fothergill', 'Mark Linfield']","['wilderness', 'wildlife', 'wild animal', 'monkey', 'nature', 'adopted', 'chimpanzee', 'duringcreditsstinger', 'separation from family']",['Tim Allen'],14
74,74,12601,Chinatown,Chinatown,"['Crimen', 'Drama', 'Misterio', 'Suspense']",['Roman Polański'],"['rape', 'sea', 'river', 'chinatown', 'mistake in person', 'pedophilia', 'dying and death', 'barrage', 'los angeles', 'private detective', 'neo-noir']","['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez', 'John Hillerman']",43
75,75,12651,Chocolat,Chocolat,"['Comedia', 'Drama', 'Romance']",['Lasse Hallström'],"['chocolate', 'parent child relationship', 'mayor', 'praline', 'single']","['Juliette Binoche', 'Alfred Molina', 'Johnny Depp', 'Judi Dench', 'Leslie Caron']",31
76,76,12730,Un cuento de Navidad,Christmas Belle,"['Drama', 'Romance']",['Alex Wright'],"['romance', 'christmas']","['Haylie Duff', 'Nicholas Gonzalez', 'Mark Famiglietti', 'C. Thomas Howell', 'Sheree J. Wilson']",20
77,77,12736,Christmas Cottage,Christmas Cottage,"['Drama', 'Romance', 'Familia']",['Michael Campus'],['christmas'],"['Jared Padalecki', 'Marcia Gay Harden', ""Peter O'Toole"", 'Chris Elliott', 'Charlotte Rae']",31
78,78,13067,"Ruth, una chica sorprendente",Citizen Ruth,"['Drama', 'Comedia']",['Alexander Payne'],"['judge', 'independent film', 'extremist']","['Laura Dern', 'Swoosie Kurtz', 'Kurtwood Smith', 'Mary Kay Place', 'Kelly Preston']",20
79,79,13102,Ciudad Delirio,Ciudad Delirio,"['Comedia', 'Romance']",['Chus Gutiérrez'],['woman director'],"['Carolina Ramírez', 'Julián Villagrán', 'Ingrid Rubio']",22
80,80,13226,Cleopatra,Cleopatra,"['Drama', 'Historia', 'Romance']",['Joseph L. Mankiewicz'],"['ancient rome', 'historical figure', 'cleopatra', 'julius caesar']","['Elizabeth Taylor', 'Richard Burton', 'Rex Harrison', 'Pamela Brown', 'George Cole']",32
106,106,17064,Tambores lejanos,Distant Drums,"['Acción', 'Western']",['Raoul Walsh'],"['florida', 'everglades', 'swamp', 'native american', 'knife fight', 'seminole']","['Gary Cooper', 'Mari Aldon', 'Richard Webb', 'Ray Teal', 'Arthur Hunnicutt']",21
107,107,17209,Dr. Dolittle,Doctor Dolittle,"['Comedia', 'Familia', 'Fantasía']",['Betty Thomas'],"['monkey', 'dog', 'talking to animals', 'woman director']","['Eddie Murphy', 'Ossie Davis', 'Oliver Platt', 'Peter Boyle', 'Richard Schiff']",34
108,108,17228,Cuestión de pelotas,DodgeBall: A True Underdog Story,['Comedia'],['Rawson Marshall Thurber'],"['underdog', 'competition', 'bank', 'bar', 'ball', 'cheerleader', 'diet', 'wife', 'sport', 'gymnasium', 'pleite', 'fitness-studio', 'love', 'mail order bride', 'cheerleading', 'pirate', 'aftercreditsstinger', 'duringcreditsstinger']","['Vince Vaughn', 'Christine Taylor', 'Ben Stiller', 'Rip Torn', 'Justin Long']",11
109,109,17352,Don Verdean,Don Verdean,['Comedia'],['Jared Hess'],"['pastor', 'archaeologist', 'holy land']","['Sam Rockwell', 'Jemaine Clement', 'Amy Ryan', 'Danny McBride', 'Will Forte']",11
110,110,17353,Los colegas del barrio,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedia'],['Paris Barclay'],"['date', 'slang', 'hip-hop', 'gangster', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism']","['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer', 'Vivica A. Fox']",11
111,111,17370,Ni una palabra,Don't Say a Word,"['Suspense', 'Drama']",['Gary Fleder'],"['cemetery', 'diamond', 'suspense', 'psychiatrist', 'killer']","['Michael Douglas', 'Sean Bean', 'Brittany Murphy', 'Skye McCole Bartusiak', 'Guy Torry']",21
112,112,17431,La taberna del irlandés,Donovan's Reef,"['Aventura', 'Comedia', 'Romance']",['John Ford'],"['birthday', 'half-brother', 'priest', 'mission clinic', 'polynesia', 'bar brawl', 'navy veteran', 'christmas', 'piano', 'half sister', 'tiki culture']","['John Wayne', 'Elizabeth Allen', 'Lee Marvin', 'Cesar Romero', 'Mike Mazurki']",34
114,114,17808,Drumline,Drumline,"['Drama', 'Romance', 'Comedia', 'Música']",['Charles Stone III'],"['music rehearsal', 'fraternity initiation', 'television broadcast', 'sorority party', 'push ups']","['Nick Cannon', 'Zoe Saldana', 'Orlando Jones', 'Leonard Roberts', 'GQ']",41
115,115,17896,Dummy the Mummy,Dummie de Mummie,"['Aventura', 'Familia']",['Pim van Hoeve'],[],"['Julian Ras', 'Roeland Fernhout', 'Yahya Gaier', 'Jennifer Hoffman', 'Ton Kas']",23
116,116,17900,Dune,Dune,"['Acción', 'Ciencia ficción', 'Aventura']",['David Lynch'],"['prophecy', 'witch', 'monster', 'telepathy', 'atomic bomb', 'space marine', 'emperor', 'mutation', 'insurgence', 'space travel', 'guild', 'duke', 'water', 'chosen one', 'dystopia', 'jihad', 'spice', 'war', 'messiah', 'denunciation']","['Kyle MacLachlan', 'Francesca Annis', 'Jürgen Prochnow', 'Kenneth McMillan', 'Freddie Jones']",41
139,139,22447,Vamos a la Luna,Fly Me to the Moon,"['Aventura', 'Fantasía', 'Animación', 'Acción', 'Ciencia ficción', 'Familia']",['Ben Stassen'],['duringcreditsstinger'],"['Tim Curry', 'Robert Patrick', 'Kelly Ripa', 'Trevor Gagnon', 'Philip Bolden']",77
140,140,22610,Foodfight!,Foodfight!,"['Animación', 'Acción', 'Comedia', 'Familia']",['Lawrence Kasanoff'],"['supermarket', 'fight', 'product placement', 'computer animation', 'food']","['Charlie Sheen', 'Wayne Brady', 'Hilary Duff', 'Eva Longoria', 'Christopher Lloyd']",45
141,141,22729,Paso de ti,Forgetting Sarah Marshall,"['Comedia', 'Romance', 'Drama']",['Nicholas Stoller'],"['hawaii', 'one-night stand', 'beauty']","['Jason Segel', 'Kristen Bell', 'Mila Kunis', 'Russell Brand', 'Bill Hader']",31
142,142,22963,Freeloaders,Freeloaders,['Comedia'],['Dan Rosen'],"['rock star', 'underwear', 'musician', 'party', 'slacker', 'mansion']","['Clifton Collins Jr.', 'Josh Lawson', 'Brit Morgan', 'Olivia Munn', 'Kevin Sussman']",11
143,143,22965,Freerunner,Freerunner,['Acción'],['Lawrence Silverstein'],[],"['Sean Faris', 'Danny Dyer', 'Tamer Hassan', 'Amanda Fuller', 'Seymour Cassel']",10
144,144,23057,Desde el infierno,From Hell,"['Terror', 'Misterio', 'Suspense']","['Albert Hughes', 'Allen Hughes']","['london england', 'loss of loved one', 'drug addiction', 'jack the ripper', 'united kingdom', '20th century']","['Johnny Depp', 'Heather Graham', 'Ian Holm', 'Robbie Coltrane', 'Ian Richardson']",34
145,145,23290,En pata de guerra,Furry Vengeance,"['Comedia', 'Familia']",['Roger Kumble'],"['bear', 'animal', 'aftercreditsstinger', 'duringcreditsstinger', 'real estate', 'land developer', 'real estate developer']","['Brendan Fraser', 'Ken Jeong', 'Brooke Shields', 'Angela Kinsey', 'Rob Riggle']",22
146,146,23385,Héroes fuera de órbita,Galaxy Quest,"['Comedia', 'Familia', 'Ciencia ficción']",['Dean Parisot'],"['space battle', 'spaceship', 'spoof', 'fictional tv show']","['Tim Allen', 'Sigourney Weaver', 'Alan Rickman', 'Tony Shalhoub', 'Sam Rockwell']",41
147,147,23397,Gallows Hill,The Damned,"['Suspense', 'Terror', 'Misterio']",['Víctor García'],[],"['Peter Facinelli', 'Sophia Myles', 'Nathalia Ramos', 'Carolina Guerra', 'Sebastian Martinez']",34
148,148,23403,Game 6,Game 6,"['Comedia', 'Drama']",['Michael Hoffman'],['sport'],"['Michael Keaton', 'Robert Downey Jr.', 'Ari Graynor', 'Bebe Neuwirth', 'Griffin Dunne']",20
175,175,26590,House Arrest,House Arrest,['Comedia'],['Marcello Thedford'],[],[],11
176,176,26598,La casa de bambú,House of Bamboo,"['Crimen', 'Drama']",['Samuel Fuller'],"['japanese culture', 'post war japan']","['Robert Ryan', 'Robert Stack', 'Shirley Yamaguchi', 'Cameron Mitchell', 'Brad Dexter']",19
177,177,26656,El Grinch,How the Grinch Stole Christmas,"['Familia', 'Comedia', 'Fantasía']",['Ron Howard'],"['holiday', 'christmas party', 'new love', 'santa claus', 'village', 'kids and family', 'christmas']","['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin']",34
178,178,26678,Cómo perder a un chico en 10 días,How to Lose a Guy in 10 Days,"['Comedia', 'Romance']",['Donald Petrie'],"['new york', 'bet', 'journalist', 'therapist', 'advertising expert', 'relationship']","['Kate Hudson', 'Matthew McConaughey', 'Kathryn Hahn', 'Annie Parisse', 'Adam Goldberg']",22
180,180,26696,Cómo entrenar a tu dragón,How to Train Your Dragon,"['Fantasía', 'Aventura', 'Animación', 'Familia']","['Dean DeBlois', 'Chris Sanders']","['flying', 'blacksmith', 'arena', 'island', 'night', 'ship', 'training', 'village', 'forest', 'viking', 'friendship', 'ignorance', 'flight', 'nest', 'dragon', 'battle', 'combat', 'well', 'warrior']","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'David Tennant']",48
181,181,26753,La invención de Hugo,Hugo,"['Aventura', 'Drama', 'Familia']",['Martin Scorsese'],"['library', 'based on novel or book', 'movie business', 'clock', 'museum', 'key', 'toy', 'boy', 'orphan', 'robot', 'automaton', 'hiding', 'filmmaking', 'leg brace', 'doberman', 'railway station', '3d', 'based on young adult novel']","['Asa Butterfield', 'Chloë Grace Moretz', 'Ben Kingsley', 'Sacha Baron Cohen', 'Ray Winstone']",32
182,182,26884,I Am,I Am,"['Documental', 'Drama']",['John Ward'],[],"['Tomas Boykin', 'Jay Hindle', 'John Ward', 'Todd Zeile', 'Stefan Hajek']",23
183,183,27016,Los cuatro truhanes,I quattro dell'Ave Maria,"['Acción', 'Comedia', 'Western']",['Giuseppe Colizzi'],"['gunslinger', 'prison', 'robbery', 'bank manager', 'revenge']","['Eli Wallach', 'Terence Hill', 'Bud Spencer', 'Brock Peters', 'Kevin McCarthy']",32
184,184,27024,Escupiré sobre tu tumba (Dulce venganza),I Spit on Your Grave,"['Suspense', 'Crimen', 'Terror']",['Steven R. Monroe'],"['rape', 'fondling', 'revenge', 'writer', 'garden shears', 'rape and revenge']","['Sarah Butler', 'Daniel Franzese', 'Chad Lindberg', 'Jeff Branson', 'Rodney Eastman']",32
185,185,27078,"Yo, robot","I, Robot","['Acción', 'Ciencia ficción']",['Alex Proyas'],"['suicide', 'artificial intelligence', 'man vs machine', 'chicago', 'based on novel or book', 'hero', 'future', 'law', 'dystopia', 'police', 'murder', 'robot', '3d', 'humanoid robot']","['Will Smith', 'Bridget Moynahan', 'Alan Tudyk', 'James Cromwell', 'Bruce Greenwood']",29
